trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",25,7,-38.66234634606824,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",20,1,17.27760335963366,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151648}",25,0,-10.499790002306284,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.15906436205108615}",25,5,-3.8929870457419424,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15588307481006441}",20,0,24.22583852371678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.15276541331386312}",25,0,6.810834862776193,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.14971010504758586}",30,10,30.963587113656278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663414}",20,13,-26.900916480037466,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.14378158488770146}",20,0,22.863505519534833,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.14090595318994742}",20,0,7.797619265739342,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.13808783412614847}",20,15,12.369571774036912,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13532607744362551}",25,14,-0.7438442731001258,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.132619555894753}",25,9,17.707517080984314,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.12996716477685794}",20,13,0.41400392716137113,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12736782148132078}",25,3,6.576954726526313,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169436}",30,20,-22.629532404333407,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066048}",25,0,-7.032758387606381,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.11987757463564727}",20,11,13.823640250142594,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.11748002314293432}",20,8,21.72858764001564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007563}",20,12,13.625055335726824,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647412}",25,0,-59.222671797763745,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
